"","coords.x1","coords.x2"
"1",399778.047938615,503691.260351678
"2",403967.682140676,474586.267757923
"3",476887.136758209,533920.465647967
"4",401581.61152765,481569.028811056
"5",580338.669289795,435455.600890289
"6",421853.498278983,488911.535397488
"7",552704.707646774,411471.416950444
"8",537946.635920128,404084.496862734
"9",528719.140205609,420666.118650574
"10",447560.933419419,396720.375706893
"11",519508.933444277,400393.463695772
"12",495526.904800087,437246.050205288
"13",470692.886964002,434798.758533897
"14",504738.780284851,464890.688897599
"15",394415.966313485,579273.557495769
"16",420165.305113859,422340.303405861
"17",414795.839072431,656649.460656633
"18",480857.120981062,628922.191313211
"19",486364.818421115,623390.793693813
"20",401581.61152765,481569.028811056
"21",609630.771850452,533205.652563307
"22",473459.878985323,545986.84413104
"23",613452.028506757,472384.898439192
"24",475289.448029781,518340.148189108
"25",473504.216455324,623396.635693431
"26",478972.776427333,531243.426702136
"27",482649.032551414,529395.265464597
"28",473422.217160987,474108.506190029
"29",466106.24111421,558896.640855009
"30",455043.373446554,529412.620709759
"31",476113.866125259,461733.310711088
"32",565485.470415779,520226.327733278
"33",403410.904512026,472353.30120574
"34",427359.024801314,468629.36512209
"35",484493.65749908,531241.373530512
"36",482677.969645815,588380.596690536
"37",513944.449021064,522029.250934643
"38",561958.728545267,434994.154557795
"39",574875.222749875,432415.551696263
"40",558624.778871144,448951.040656996
"41",539340.503279912,437683.285813387
"42",549286.849253241,415789.241163996
"43",565609.76721494,415856.87827539
"44",582082.659117773,429887.996621617
"45",609794.120572318,459241.900693296
"46",616164.839824712,482140.596942102
"47",616329.241988635,491410.757649512
"48",604393.574412979,515481.260551057
"49",617600.298455553,524580.83932063
"50",620010.70392728,532513.466265452
"51",616092.89897875,545922.640718184
"52",589910.775275948,586763.543273995
"53",545591.119812443,687166.76795691
"54",546450.026757104,675902.556458151
"55",525344.608607975,649233.989447119
"56",525147.443099326,602836.2714353
"57",531717.277177685,600512.671356769
"58",527350.20117546,605090.956016929
"59",524957.601916625,599704.744189788
"60",526162.646551686,604144.567006426
"61",530289.835226911,610411.895172263
"62",532609.139265557,611518.059388319
"63",519747.670509095,615118.856534592
"64",516675.600067161,610768.204791024
"65",517898.716264493,611494.101620808
"66",519055.501999055,612774.587725028
"67",517402.110504742,612656.598849739
"68",514627.949689955,614771.83704055
"69",513890.226953922,615281.882483506
"70",514144.253672607,613478.920329141
"71",515058.629953528,617223.699835286
"72",509760.659510197,625596.976692289
"73",501454.851801136,615039.721699151
"74",504217.181677564,623228.571238527
"75",517009.035706523,572320.656214144
"76",525114.786953837,587435.935340521
"77",516211.288249535,583055.892806619
"78",504840.634539257,586213.048632165
"79",483724.587065004,559289.836598082
"80",467633.658998366,560348.614392647
"81",469414.841101607,554847.112529667
"82",496562.900570468,544883.630288156
"83",492263.382368837,544093.255078743
"84",501165.157716808,547066.654269244
"85",499744.526986302,560982.578347133
"86",505857.075799162,559868.14314055
"87",492959.340975898,555578.765538328
"88",507946.678187574,547990.060514735
"89",518977.633328003,552013.837198752
"90",495860.250623462,532532.812565101
"91",494562.891266618,535319.386065566
"92",492085.682679572,530876.890093998
"93",495277.197799467,538068.228993668
"94",493167.309814748,539758.811557358
"95",487787.981727662,529645.560933217
"96",485484.412445971,530506.619519016
"97",485583.394804081,532838.833603201
"98",483256.288223212,528465.246251347
"99",480840.004178622,528594.5690868
"100",480439.2758412,531354.58525393
"101",481490.075872276,526721.701900358
"102",482770.82082097,525053.580868982
"103",480305.068345877,523843.181575986
"104",479596.441944592,528916.485102276
"105",480217.733569499,530068.383654426
"106",479862.789783882,528177.578930192
"107",470867.468121095,527785.481374139
"108",464250.074592583,528324.943257332
"109",452756.003622867,527640.200208965
"110",453987.561363473,526302.768216989
"111",459302.240767316,532809.351563825
"112",458198.27837871,535404.138367836
"113",452660.733573417,533868.126105507
"114",449350.370427876,534455.178691496
"115",461238.487537192,527210.030634376
"116",448723.94656136,525593.687558775
"117",443218.514503467,521710.767534762
"118",442018.536164553,512973.16499221
"119",451532.155548589,511442.528406507
"120",454569.950004222,505973.596707484
"121",442121.326521182,503841.467374251
"122",440942.699921361,501572.243672564
"123",454500.439473542,480303.517720059
"124",449166.611199768,477787.025086988
"125",456168.496425123,467642.37902034
"126",467232.830368331,467660.109234366
"127",463026.301848439,469519.970270552
"128",458342.020122889,447982.608808139
"129",445328.611205692,448851.81964384
"130",440592.972173737,427047.194721698
"131",452062.502149938,426152.887478993
"132",455827.06965103,416830.593570124
"133",451696.581140126,413438.769784948
"134",465534.563584916,411856.656465425
"135",452062.527984711,405259.797569963
"136",449403.067503009,400797.673408993
"137",449403.637371602,399566.287345916
"138",457873.714403896,406959.003778232
"139",438280.349570047,395980.480674191
"140",442416.340987547,392816.300668829
"141",453275.24631234,395685.157623414
"142",461570.463685582,386684.626886753
"143",490733.43373907,406605.365529463
"144",495478.958751507,394780.139510119
"145",475652.531558277,384398.925650142
"146",480650.965128927,387167.355235048
"147",491153.371156071,387475.228271832
"148",472961.901757719,398796.281594413
"149",485935.400111612,392831.743495245
"150",513787.869296359,441586.046679832
"151",508224.266002467,426517.53574306
"152",580672.536046491,477435.682480055
"153",599088.092482153,452635.144583365
"154",552168.903956385,473054.316560519
