X,Y
168,59
67,172
349,510
38,152
324,513
324,542
324,534
341,516
336,414
307,416
348,509
348,510
323,501
323,500
365,579
365,578
340,505
335,500
183,364
298,475
202,230
347,509
322,503
322,513
322,534
322,535
322,538
400,199
363,578
334,503
177,294
321,503
189,293
358,582
358,583
329,499
329,530
329,516
329,500
345,508
361,581
361,582
188,356
159,290
357,583
332,500
328,526
328,524
328,508
328,509
328,501
327,522
327,526
327,518
327,517
327,499
373,554
373,561
270,536
331,515
331,516
331,496
326,516
326,500
326,531
372,567
372,569
372,570
368,574
338,506
190,358
330,500
330,513
325,514
325,501
325,539
371,572
371,571
371,569
247,234
