long,lat
80.354167,8.354167
80.354167,8.312500
80.354167,7.479167
80.354167,7.270833
80.354167,7.020833
80.354167,6.937500
80.354167,6.812500
80.354167,6.770833
80.354167,6.437500
80.354167,6.395833
80.354167,6.354167
80.354167,6.312500
80.354167,6.270833
80.354167,6.229167
80.354167,6.145833
80.354167,6.062500
80.354167,6.020833
81.062500,7.020833
81.062500,6.979167
80.854167,7.562500
80.854167,7.437500
80.854167,7.312500
80.520833,6.312500
80.520833,6.729167
80.520833,6.604167
80.520833,6.645833
80.520833,6.479167
80.520833,6.354167
80.520833,6.395833
80.520833,7.145833
80.520833,7.062500
80.520833,7.020833
80.520833,6.895833
80.520833,6.812500
80.520833,6.854167
80.520833,6.770833
80.520833,8.354167
80.520833,8.270833
80.312500,6.312500
80.312500,6.145833
80.312500,6.270833
80.312500,6.104167
80.312500,6.062500
80.312500,6.395833
80.312500,7.020833
80.312500,7.604167
81.020833,6.937500
80.812500,6.687500
80.812500,7.395833
80.812500,7.520833
80.812500,7.270833
80.812500,7.354167
80.812500,7.979167
81.520833,6.395833
80.479167,7.562500
80.479167,7.520833
80.479167,7.187500
80.479167,7.104167
80.479167,7.145833
80.479167,6.937500
80.479167,6.979167
80.479167,6.812500
80.479167,6.729167
80.479167,6.354167
80.479167,6.395833
80.479167,6.437500
80.479167,6.187500
80.479167,6.020833
80.270833,6.312500
80.270833,6.020833
80.270833,6.187500
80.270833,6.104167
80.270833,6.770833
80.270833,6.729167
80.270833,6.520833
80.270833,6.437500
80.270833,6.645833
80.270833,6.604167
80.270833,6.562500
80.270833,6.854167
80.270833,7.104167
80.270833,7.479167
80.979167,6.729167
80.937500,7.979167
80.770833,7.937500
80.770833,7.854167
80.770833,8.020833
80.770833,7.312500
80.770833,7.437500
80.770833,7.395833
80.770833,7.562500
81.437500,7.229167
81.270833,6.770833
80.229167,6.104167
80.229167,7.020833
80.229167,6.395833
80.229167,6.354167
80.895833,8.020833
80.729167,6.645833
80.729167,8.020833
80.729167,7.979167
80.729167,7.270833
80.729167,7.604167
80.729167,7.312500
80.729167,7.354167
80.729167,7.437500
80.729167,7.479167
80.729167,7.562500
81.395833,7.104167
80.187500,6.104167
80.187500,6.312500
80.187500,6.270833
80.187500,6.229167
80.187500,7.020833
80.187500,6.979167
80.187500,6.854167
80.187500,6.770833
80.187500,6.395833
80.187500,6.354167
80.187500,6.729167
80.187500,6.687500
80.020833,6.479167
80.020833,6.437500
80.020833,6.729167
80.687500,7.979167
80.687500,8.104167
80.687500,7.520833
80.687500,7.312500
80.687500,7.062500
80.687500,7.020833
80.687500,7.187500
80.687500,7.229167
80.687500,6.645833
80.687500,6.479167
80.687500,6.687500
80.687500,6.145833
81.354167,7.187500
81.354167,6.854167
81.354167,6.937500
80.145833,6.437500
80.145833,6.395833
80.145833,6.354167
80.145833,6.729167
80.145833,6.937500
80.145833,6.895833
80.145833,6.979167
79.979167,6.437500
79.937500,8.104167
80.645833,6.479167
80.645833,6.395833
80.645833,6.437500
80.645833,6.645833
80.645833,8.145833
80.645833,8.104167
80.645833,7.937500
80.645833,7.687500
80.645833,7.729167
80.645833,7.770833
80.645833,7.437500
80.645833,7.229167
80.645833,7.270833
80.645833,7.312500
80.645833,7.020833
80.645833,7.062500
80.437500,7.520833
80.437500,7.729167
80.437500,7.145833
80.437500,6.562500
80.437500,6.729167
80.437500,6.812500
80.437500,6.770833
80.437500,6.979167
80.437500,6.895833
80.437500,6.854167
80.437500,6.312500
80.437500,6.354167
80.437500,6.437500
80.437500,6.395833
81.312500,7.229167
81.145833,6.937500
80.104167,6.604167
80.104167,6.729167
80.104167,6.937500
80.104167,6.895833
79.895833,8.020833
80.604167,5.979167
80.604167,6.395833
80.604167,6.479167
80.604167,6.687500
80.604167,7.145833
80.604167,7.270833
80.604167,7.312500
80.604167,7.187500
80.604167,7.229167
80.604167,7.437500
80.604167,7.479167
80.604167,7.354167
80.604167,7.645833
80.604167,7.687500
80.604167,7.812500
80.604167,8.020833
80.604167,8.104167
80.604167,8.145833
80.395833,8.312500
80.395833,7.645833
80.395833,7.479167
80.395833,7.562500
80.395833,6.979167
80.395833,7.104167
80.395833,6.770833
80.395833,6.854167
80.395833,6.520833
80.395833,6.645833
80.395833,6.687500
80.395833,6.395833
80.395833,6.437500
80.395833,6.270833
80.395833,6.020833
81.104167,6.979167
80.062500,6.979167
80.062500,6.604167
79.854167,8.020833
81.770833,7.312500
80.562500,7.187500
80.562500,7.270833
80.562500,7.312500
80.562500,7.770833
80.562500,8.062500
80.562500,6.312500
80.562500,6.354167
80.562500,6.437500
80.562500,6.645833
80.562500,6.687500
