"","coords.x1","coords.x2"
"1",433059.582864479,505680.039634369
"2",403967.682140676,474586.267757923
"3",477421.653426017,536517.088050779
"4",401581.61152765,481569.028811056
"5",580338.669289795,435455.600890289
"6",411156.968388527,489507.560609903
"7",550028.900951463,417501.564922102
"8",537946.635920128,404084.496862734
"9",528719.140205609,420666.118650574
"10",442146.665496039,391684.711000332
"11",510246.242423249,399626.809411918
"12",495526.904800087,437246.050205288
"13",470692.886964002,434798.758533897
"14",504738.780284851,464890.688897599
"15",390420.693573085,592050.303129857
"16",418080.256933716,426511.015456016
"17",414795.839072431,656649.460656633
"18",494793.396678345,647359.021900038
"19",481023.897254938,615695.58838732
"20",401581.61152765,481569.028811056
"21",473459.878985323,545986.84413104
"22",613452.028506757,472384.898439192
"23",469906.746355916,519139.299788566
"24",472942.020202636,618237.437461068
"25",478972.776427333,531243.426702136
"26",482649.032551414,529395.265464597
"27",454456.89241754,480467.423870902
"28",466106.24111421,558896.640855009
"29",455043.373446554,529412.620709759
"30",476113.866125259,461733.310711088
"31",565485.470415779,520226.327733278
"32",403410.904512026,472353.30120574
"33",434146.093800575,471892.747685489
"34",485662.568393901,530323.417312471
"35",482677.969645815,588380.596690536
"36",513944.449021063,522029.250934643
"37",558050.591033149,424850.832522111
"38",574875.222749875,432415.551696263
"39",558624.778871144,448951.040656996
"40",594662.526061146,463412.261652316
"41",600631.438423864,503567.231113188
"42",620010.70392728,532513.466265452
"43",599473.176794404,533515.078493245
"44",545591.119812443,687166.76795691
"45",546450.026757104,675902.556458151
"46",525147.443099326,602836.2714353
"47",526563.515854251,594870.953120394
"48",516023.336822906,601804.683548186
"49",530420.178487679,630694.498128174
"50",519055.501999055,612774.587725028
"51",514144.253672607,613478.920329141
"52",509760.659510197,625596.976692289
"53",498250.233912147,614800.21062606
"54",530358.287717052,574019.328215253
"55",525114.786953837,587435.935340521
"56",504840.634539257,586213.048632165
"57",483724.587065004,559289.836598082
"58",496562.900570468,544883.630288156
"59",492263.382368837,544093.255078743
"60",501165.157716808,547066.654269244
"61",492989.30322813,534024.057902523
"62",495038.945926107,536123.442572504
"63",493167.309814748,539758.811557358
"64",487787.981727662,529645.560933217
"65",485583.394804081,532838.833603201
"66",482938.264743565,527553.738141225
"67",479596.441944592,528916.485102276
"68",475422.35575138,529329.813557808
"69",464710.031708308,523722.570911412
"70",452756.003622867,527640.200208965
"71",459302.240767316,532809.351563825
"72",458198.27837871,535404.138367836
"73",449350.370427876,534455.178691496
"74",454063.510825966,523595.367401928
"75",436259.912450115,524953.017355733
"76",440942.699921361,501572.243672564
"77",434707.376096537,480875.991514446
"78",412412.26060606,454716.398281589
"79",431203.653787406,429712.161773294
"80",451696.581140126,413438.769784948
"81",459359.200253913,401439.788292862
"82",449403.067503009,400797.673408993
"83",438910.023611308,395126.913454226
"84",455660.265246134,390028.470800707
"85",490737.45119386,418224.864359313
"86",495648.022476041,395100.896743227
"87",552457.474450936,473228.24873018
"88",572262.869727089,566940.500910284
"89",599328.082728626,580576.438387371
"90",568484.479119563,606259.305985896
"91",459611.451335971,648523.484581873
"92",467043.699624495,644635.185665454
"93",439678.890596604,642815.888587377
"94",392673.419930667,561698.044084586
"95",396486.582390622,546901.01871767
"96",400776.366466695,515860.57898334
"97",401164.080297946,522852.824959544
"98",415923.987293949,509417.636863403
"99",425825.931184417,515003.696152906
"100",427036.479375159,447264.934656621
"101",429838.245685168,409322.544254578
"102",437245.354685993,418569.514544727
"103",431731.704441265,421106.198542023
"104",453978.986741069,430791.670514909
"105",587023.505974359,489615.689369844
"106",420274.35781924,552861.920031893
"107",396283.819345053,614189.443887907
"108",394227.597612287,636157.036687783
"109",401430.406174941,719969.215734844
"110",443751.942782158,687671.14911939
"111",580491.346031122,604404.699647728
"112",584567.224343592,524060.035597182
"113",598744.666436907,525888.209431563
"114",616465.400133301,545370.240919749
"115",523362.965478579,410071.656518299
"116",475718.090024874,384615.711331623
"117",427189.350079098,611361.610741038
"118",450279.776221138,634995.817815744
"119",471014.739283459,650018.051073504
"120",563100.308318131,558503.997757079
"121",549026.190317544,517772.840388379
"122",476916.566779622,513813.613335027
"123",436322.006803177,495390.731084082
"124",438901.497401815,491800.83124984
"125",458840.630514679,464400.712201099
"126",492029.280516526,531015.290802465
"127",461561.799760439,530403.219904091
"128",476503.172017405,518920.391095527
"129",475354.757235608,509194.646246052
"130",463516.193720608,498982.973906937
"131",456816.851169521,442933.059013104
"132",419340.532891534,421978.6550558
"133",447431.568845823,396748.157966985
"134",519822.4133385,400416.206654743
"135",530651.506882255,415409.048860949
"136",530471.711998005,413333.956181172
"137",553076.393246599,411611.630003523
"138",609479.472258319,533625.172361237
"139",471431.363709521,475646.899968298
"140",521051.796039035,471019.057142127
"141",416254.319069599,491222.48069626
"142",399584.215172687,504083.501463562
"143",482529.814630044,579501.539636243
"144",394256.861167679,579996.80620754
"145",473297.667249477,623761.637218703
"146",499636.167452102,657361.507206952
"147",473570.590344675,458906.221677513
"148",436388.968430971,628866.594193152
"149",422224.698697816,635249.375023748
