X,Y
337,557
337,558
337,562
337,564
337,568
337,574
337,578
337,579
337,580
337,581
337,585
337,587
944,217
354,572
354,574
354,547
349,553
349,545
349,555
349,556
349,535
349,572
349,575
349,568
349,580
927,210
324,539
370,571
370,566
370,556
1057,250
341,580
341,573
341,578
341,518
341,560
341,562
341,563
341,566
341,568
341,569
341,554
341,559
341,540
341,544
341,531
341,533
341,539
823,394
336,414
336,584
336,585
336,586
336,572
336,577
336,562
336,566
336,556
336,539
840,615
353,519
353,517
353,541
353,570
353,585
301,21
203,230
348,566
348,571
348,570
348,577
348,544
348,549
348,554
348,553
348,551
348,557
348,555
348,565
348,540
810,551
348,509
1303,178
365,551
365,558
365,563
365,579
365,578
340,561
340,565
340,568
340,531
340,575
340,577
340,587
340,588
340,524
335,587
335,569
335,575
335,577
335,578
335,571
335,573
335,574
335,564
335,567
335,560
335,562
335,551
335,540
335,417
36,141
1001,341
529,111
352,570
352,576
352,554
352,556
352,547
352,546
900,699
351,540
351,543
351,548
351,546
351,559
351,555
351,558
351,568
351,573
351,575
351,578
351,577
900,700
273,421
202,230
347,571
347,569
347,541
347,540
347,539
347,566
347,553
347,555
347,551
347,550
347,546
347,545
347,520
880,376
400,199
364,579
364,578
364,561
364,563
364,562
364,568
364,558
797,298
363,560
363,552
363,558
363,559
912,376
359,559
359,566
359,570
359,581
359,549
334,586
334,562
334,558
334,570
334,579
334,575
334,541
334,542
334,536
334,556
1294,180
350,583
350,525
350,539
350,536
858,335
346,587
346,571
346,543
346,542
346,557
346,562
346,554
346,552
346,551
346,550
181,286
181,289
1301,155
362,580
362,581
362,557
362,559
362,566
362,561
362,544
358,580
358,570
358,569
358,560
358,557
358,553
358,555
358,547
358,549
358,526
333,586
333,581
333,583
333,566
333,567
333,569
333,573
333,579
333,570
333,571
333,572
333,538
820,307
329,530
329,529
329,578
329,566
329,570
1049,911
1276,938
1127,176
345,542
345,541
345,537
345,538
345,551
345,554
345,556
345,548
345,559
345,558
345,576
345,578
345,571
345,570
345,582
1036,275
271,420
538,95
361,578
361,570
361,581
361,582
361,558
361,559
361,557
361,551
361,569
357,548
357,556
357,553
357,537
357,579
357,580
357,563
279,419
332,584
332,581
332,557
332,546
332,575
332,570
332,565
332,564
332,567
332,561
332,560
332,532
332,537
328,570
328,575
328,561
327,538
327,570
327,544
327,561
373,558
373,561
373,564
369,566
369,565
369,556
369,572
369,575
513,163
1130,181
951,243
344,586
344,585
344,581
344,537
344,543
344,542
344,541
344,546
344,549
344,552
344,557
344,556
344,567
369,202
369,221
339,512
339,548
339,543
339,545
339,559
339,553
339,570
339,568
339,569
339,564
339,566
339,575
339,577
339,578
360,568
360,569
360,567
360,561
360,558
360,559
360,577
360,570
240,436
240,499
356,581
356,565
356,576
356,543
331,583
331,558
331,540
331,575
331,576
331,571
331,573
331,570
331,561
331,537
326,555
326,551
326,570
326,568
326,537
326,539
372,567
372,569
372,570
368,219
368,559
368,565
368,561
368,555
343,588
343,582
343,584
343,578
343,576
343,573
343,567
343,557
343,556
343,558
343,555
343,549
343,544
343,539
1299,168
338,531
338,532
338,541
338,540
338,545
338,557
338,555
338,564
338,561
338,569
338,567
338,575
338,571
338,581
338,580
800,362
355,547
355,541
355,557
355,552
355,566
355,565
355,575
355,572
355,570
330,566
330,561
330,570
330,535
330,581
330,580
789,533
759,281
325,534
325,540
325,533
325,566
325,563
371,572
371,571
371,556
808,529
367,552
1281,16
342,567
342,566
342,564
342,561
342,560
342,557
342,586
342,584
342,579
780,484
293,314
